"t","Ph","Te","Isol"
2013-01-31 10:05:00,72,6.6415,37.02596899225
2013-01-31 10:35:00,72,6.68966666666667,41.6886627906833
2013-01-31 11:05:00,72,6.183,18.40633074935
2013-01-31 11:35:00,74,6.257,13.8589470284333
2013-01-31 12:05:00,72,6.40016666666667,14.0934431524667
2013-01-31 12:35:00,72,7.224,47.9631782945667
2013-01-31 13:05:00,66,8.164,238.7081395349
2013-01-31 13:35:00,14,9.33966666666667,523.920445736417
2013-01-31 14:05:00,58,9.0615,64.3984173126667
2013-01-31 14:35:00,54,9.329,201.470316537467
2013-01-31 15:05:00,50,9.69883333333333,236.181040051683
2013-01-31 15:35:00,46,9.2695,153.870251937983
2013-01-31 16:05:00,58,8.90183333333333,51.3004521964
2013-01-31 16:35:00,62,8.46883333333333,6.85662144703333
2013-01-31 17:05:00,64,8.20433333333333,-1.03333333333333
2013-01-31 17:35:00,64,8.09516666666667,-0.963985788116667
2013-01-31 18:05:00,66,8.00533333333333,-1.27629198965
2013-01-31 18:35:00,68,7.697,-1.24941860466667
2013-01-31 19:05:00,68,7.606,-1.05316537466667
2013-01-31 19:35:00,68,7.417,-1.20167958658333
2013-01-31 20:05:00,70,7.33966666666667,-0.914890180866667
2013-01-31 20:35:00,70,7.27816666666667,-0.745445736416667
2013-01-31 21:05:00,70,7.32766666666667,-0.848352713183333
2013-01-31 21:35:00,70,7.3115,-0.895736434083333
2013-01-31 22:05:00,72,7.28966666666667,-0.861498708016667
2013-01-31 22:35:00,72,7.19466666666667,-0.86921834625
2013-01-31 23:05:00,72,7.31283333333333,-0.7875
2013-01-31 23:35:00,72,7.2315,-0.61285529715
2013-02-01 00:05:00,74,7.17366666666667,-0.903875969
2013-02-01 00:35:00,72,6.9435,-0.844832041333333
2013-02-01 01:05:00,72,6.78283333333333,-0.767021963816667
2013-02-01 01:35:00,74,6.8405,-0.750775193816667
2013-02-01 02:05:00,72,6.6835,-0.977810077516667
2013-02-01 02:35:00,74,6.70366666666667,-0.601195090433333
2013-02-01 03:05:00,74,6.76916666666667,-0.499354005166667
2013-02-01 03:35:00,72,6.83533333333333,-0.4685400517
2013-02-01 04:05:00,74,6.84466666666667,-0.549160206716667
2013-02-01 04:35:00,74,6.78566666666667,-0.6407622739
2013-02-01 05:05:00,74,6.97966666666667,-0.523062015516667
2013-02-01 05:35:00,72,6.92483333333333,-0.483785529716667
2013-02-01 06:05:00,74,6.66,-1.3950904393
2013-02-01 06:35:00,74,6.21716666666667,-1.651873385
2013-02-01 07:05:00,74,5.72833333333333,-0.771253229966667
2013-02-01 07:35:00,74,5.41416666666667,-0.199095607216667
2013-02-01 08:05:00,74,5.22616666666667,0.35788113695
2013-02-01 08:35:00,76,5.02866666666667,3.43801679586667
2013-02-01 09:05:00,76,4.858,7.22580749353333
2013-02-01 09:35:00,74,4.944,19.4322351421
2013-02-01 10:05:00,74,5.11483333333333,29.6498385012667
2013-02-01 10:35:00,76,5.2925,20.8061046511667
2013-02-01 11:05:00,76,5.34283333333333,17.5997093023333
2013-02-01 11:35:00,74,5.46383333333333,19.43685400515
2013-02-01 12:05:00,76,5.74,20.4571059431333
2013-02-01 12:35:00,74,6.1985,28.3671834625333
2013-02-01 13:05:00,74,6.60166666666667,28.2954134367
2013-02-01 13:35:00,76,6.63416666666667,14.8774224806
2013-02-01 14:05:00,74,6.71683333333333,22.7419250646
2013-02-01 14:35:00,72,6.959,17.3906653746833
2013-02-01 15:05:00,72,7.46533333333333,49.0163113695167
2013-02-01 15:35:00,72,7.47833333333333,16.4847222222333
2013-02-01 16:05:00,72,7.30933333333333,4.14279715763333
2013-02-01 16:35:00,74,6.99566666666667,0.152777777783333
2013-02-01 17:05:00,74,5.8665,-0.119864341083333
2013-02-01 17:35:00,72,4.76333333333333,-0.10041989665
2013-02-01 18:05:00,74,4.33083333333333,-0.0261627907
2013-02-01 18:35:00,76,4.08166666666667,-0.102551679583333
2013-02-01 19:05:00,76,3.83283333333333,-0.160174418616667
2013-02-01 19:35:00,76,3.357,-0.1835271318
2013-02-01 20:05:00,80,3.3525,-0.0968992248
2013-02-01 20:35:00,78,3.56333333333333,-0.1021963824
2013-02-01 21:05:00,80,3.62716666666667,-0.171866925066667
2013-02-01 21:35:00,80,3.59,-0.3059108527
2013-02-01 22:05:00,82,3.54266666666667,-0.3886627907
2013-02-01 22:35:00,82,3.31566666666667,-0.540374676983333
2013-02-01 23:05:00,82,3.27133333333333,-0.407041343666667
2013-02-01 23:35:00,84,3.03833333333333,-0.57325581395
2013-02-02 00:05:00,84,2.79483333333333,-0.9735142119
2013-02-02 00:35:00,84,2.63566666666667,-0.99437984495
2013-02-02 01:05:00,84,2.7855,-0.47458010335
2013-02-02 01:35:00,86,3.103,-0.317538759683333
2013-02-02 02:05:00,84,3.1685,-0.354715762283333
2013-02-02 02:35:00,86,3.16116666666667,-0.347254521966667
2013-02-02 03:05:00,86,3.11616666666667,-0.403133074933333
2013-02-02 03:35:00,86,3.2145,-0.47596899225
2013-02-02 04:05:00,86,3.12616666666667,-0.79072997415
2013-02-02 04:35:00,88,3.19216666666667,-0.54211886305
2013-02-02 05:05:00,86,3.29083333333333,-0.51666666665
2013-02-02 05:35:00,88,3.40416666666667,-0.29919250645
2013-02-02 06:05:00,86,3.434,-0.195897932816667
2013-02-02 06:35:00,86,3.71716666666667,-0.102874677
2013-02-02 07:05:00,88,3.75833333333333,-0.120219638233333
2013-02-02 07:35:00,86,3.81,0.860400516783333
2013-02-02 08:05:00,86,3.81516666666667,3.31285529715
2013-02-02 08:35:00,86,3.53133333333333,12.1572997416167
2013-02-02 09:05:00,84,3.34366666666667,20.2937338501167
2013-02-02 09:35:00,84,3.51933333333333,45.6631459948333
2013-02-02 10:05:00,80,3.69183333333333,49.3688953488333
2013-02-02 10:35:00,68,4.32866666666667,340.25213178295
2013-02-02 11:05:00,52,4.32683333333333,222.61346899225
2013-02-02 11:35:00,26,4.636,475.2645348837
2013-02-02 12:05:00,16,5.00716666666667,445.616085271333
2013-02-02 12:35:00,16,5.15116666666667,668.975613695083
2013-02-02 13:05:00,36,4.61833333333333,205.997609819117
2013-02-02 13:35:00,34,3.70216666666667,464.103908268733
2013-02-02 14:05:00,54,1.671,20.9677002584
2013-02-02 14:35:00,42,3.36633333333333,476.00717054265
2013-02-02 15:05:00,16,4.04033333333333,497.211886304917
2013-02-02 15:35:00,34,3.8255,351.348901808783
2013-02-02 16:05:00,56,3.83766666666667,44.0728036175833
2013-02-02 16:35:00,64,3.05966666666667,21.0183462532167
2013-02-02 17:05:00,72,2.163,-0.125904392783333
2013-02-02 17:35:00,74,2.44366666666667,-0.98769379845
2013-02-02 18:05:00,78,2.16483333333333,-1.535497416
2013-02-02 18:35:00,80,2.1835,-1.18149224806667
2013-02-02 19:05:00,82,1.96183333333333,-1.66702196383333
2013-02-02 19:35:00,84,1.83983333333333,-1.29250645995
2013-02-02 20:05:00,86,1.85216666666667,-1.0357881137
2013-02-02 20:35:00,88,1.27466666666667,-1.61750645995
2013-02-02 21:05:00,88,1.03116666666667,-1.2387596899
2013-02-02 21:35:00,90,0.686333333333333,-1.24832041345
2013-02-02 22:05:00,92,0.547,-1.2097868217
2013-02-02 22:35:00,92,0.867166666666667,-0.0286175710666667
2013-02-02 23:05:00,92,1.28033333333333,-0.180652454783333
2013-02-02 23:35:00,94,1.20833333333333,-0.915536175683333
2013-02-03 00:05:00,94,1.3525,-0.317183462533333
2013-02-03 00:35:00,94,1.5895,-0.232687338516667
2013-02-03 01:05:00,94,1.69933333333333,-0.367054263566667
2013-02-03 01:35:00,94,1.72733333333333,-0.32884366925
2013-02-03 02:05:00,94,1.9245,-0.203714470283333
2013-02-03 02:35:00,92,2.041,-0.22070413435
2013-02-03 03:05:00,94,2.10366666666667,-0.264534883716667
2013-02-03 03:35:00,92,2.177,-0.414147286816667
2013-02-03 04:05:00,94,1.985,-0.710077519383333
2013-02-03 04:35:00,92,2.20383333333333,-0.13543281655
2013-02-03 05:05:00,92,2.4435,-0.0823966408333333
2013-02-03 05:35:00,92,2.4615,-0.227002583983333
2013-02-03 06:05:00,90,2.43866666666667,-0.25074289405
2013-02-03 06:35:00,90,2.28733333333333,-0.38863049095
2013-02-03 07:05:00,92,2.23283333333333,-0.1280361757
2013-02-03 07:35:00,90,2.3315,1.08036175711667
2013-02-03 08:05:00,90,2.41466666666667,6.27031653748333
2013-02-03 08:35:00,88,2.46033333333333,15.0566860465167
2013-02-03 09:05:00,88,2.611,27.9180878553
2013-02-03 09:35:00,86,2.64283333333333,64.0345284237667
2013-02-03 10:05:00,74,2.90833333333333,259.457396640833
2013-02-03 10:35:00,46,3.54616666666667,472.521770025867
2013-02-03 11:05:00,42,3.74316666666667,320.8367894057
2013-02-03 11:35:00,56,3.75133333333333,241.831395348833
2013-02-03 12:05:00,64,3.63483333333333,139.68381782945
2013-02-03 12:35:00,72,3.69433333333333,86.4571382428667
2013-02-03 13:05:00,74,3.74633333333333,56.2180878553
2013-02-03 13:35:00,78,3.67883333333333,23.2968023255667
2013-02-03 14:05:00,78,3.67983333333333,24.9358850129167
2013-02-03 14:35:00,80,3.72116666666667,18.6637919896833
2013-02-03 15:05:00,80,3.72833333333333,15.8661498708
2013-02-03 15:35:00,82,3.313,9.70591085271667
2013-02-03 16:05:00,84,3.138,4.48268733848333
2013-02-03 16:35:00,84,3.01266666666667,0.346931524533333
2013-02-03 17:05:00,84,2.9555,-0.370251937983333
2013-02-03 17:35:00,84,3.12683333333333,-0.34195736435
2013-02-03 18:05:00,86,3.30033333333333,-0.2977713178
2013-02-03 18:35:00,86,3.48366666666667,-0.26169250645
2013-02-03 19:05:00,86,3.70033333333333,-0.227713178283333
2013-02-03 19:35:00,86,3.93566666666667,-0.236563307483333
2013-02-03 20:05:00,86,4.0475,-0.2369509044
